OBJECTID,ID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,STATE_ID,ALT_NAME,ST_FIPS,OWNER,TTL_STAFF,BEDS,TRAUMA,HELIPAD,x,y
8237,0001336420,ANDALUSIA HEALTH,"849 SOUTH THREE NOTCH STREET, PO BOX 760",ANDALUSIA,AL,36420,NOT AVAILABLE,(334) 222-8466,GENERAL ACUTE CARE,OPEN,88,COVINGTON,01039,USA,31.29579533,-86.49454911,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/facilitiesdirectory/,4/11/2024 12:00:00 AM,IMAGERY/OTHER,2/10/2014 12:00:00 AM,http://www.andalusiaregionalhospital.com,H2001,NOT AVAILABLE,01,PROPRIETARY,-999,88,LEVEL III,Y,-9628529.16331899,3671223.67368457
8238,0001535611,ATHENS LIMESTONE HOSPITAL,700 WEST MARKET STREET,ATHENS,AL,35611,NOT AVAILABLE,(256) 262-6468,GENERAL ACUTE CARE,OPEN,71,LIMESTONE,01083,USA,34.8041639300001,-86.9784072099999,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/facilitiesdirectory/,4/11/2024 12:00:00 AM,IMAGERY/OTHER,10/2/2013 12:00:00 AM,http://www.athenslimestonehospital.com,H4201,NOT AVAILABLE,01,PROPRIETARY,-999,71,LEVEL III,N,-9682392.00062719,4137299.54884443
8239,0000136502,ATMORE COMMUNITY HOSPITAL,401 MEDICAL PARK DR,ATMORE,AL,36502,NOT AVAILABLE,(251) 368-2500,GENERAL ACUTE CARE,OPEN,51,ESCAMBIA,01053,USA,31.0170238700001,-87.47879851,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/facilitiesdirectory/,4/11/2024 12:00:00 AM,IMAGERY/OTHER,2/10/2014 12:00:00 AM,http://www.ebaptisthealthcare.org/atmorecommunityhospital/,H2704,NOT AVAILABLE,01,NON-PROFIT,-999,51,LEVEL III,Y,-9738095.30534058,3634960.21437441
8240,0000236124,BAPTIST MEDICAL CENTER EAST,"400 TAYLOR ROAD, PO BOX 241267",MONTGOMERY,AL,36117,1267,(334) 747-4410,GENERAL ACUTE CARE,OPEN,150,MONTGOMERY,01101,USA,32.3763995,-86.17493002,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/facilitiesdirectory/,4/11/2024 12:00:00 AM,IMAGERY/OTHER,9/3/2013 12:00:00 AM,http://www.baptistfirst.org,H5107,NOT AVAILABLE,01,GOVERNMENT - DISTRICT/AUTHORITY,-999,150,NOT AVAILABLE,Y,-9592949.32897238,3812820.95723624
8241,0001736111,BAPTIST MEDICAL CENTER SOUTH,"2105 EAST SOUTH BOULEVARD, PO BOX 11010",MONTGOMERY,AL,36111,0010,(334) 286-2100,GENERAL ACUTE CARE,OPEN,432,MONTGOMERY,01101,USA,32.3281539500001,-86.27754935,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/facilitiesdirectory/,4/11/2024 12:00:00 AM,IMAGERY/OTHER,3/12/2014 12:00:00 AM,http://www.baptistfirst.org,H5102,NOT AVAILABLE,01,GOVERNMENT - DISTRICT/AUTHORITY,-999,432,LEVEL II,Y,-9604372.86053353,3806463.43351969
8242,0000436693,BAYPOINTE BEHAVIORAL HEALTH,5800 SOUTHLAND DRIVE,MOBILE,AL,36693,NOT AVAILABLE,(251) 450-5901,PSYCHIATRIC,OPEN,60,MOBILE,01097,USA,30.6248084900001,-88.17800813,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,https://dph1.adph.state.al.us/facilitiesdirectory/,4/11/2024 12:00:00 AM,IMAGERY/OTHER,2/10/2014 12:00:00 AM,http://www.altapointe.org,H4912,NOT AVAILABLE,01,NON-PROFIT,-999,60,NOT AVAILABLE,N,-9815930.96419673,3584118.64549792
8243,0001836049,BEACONS CHILDREN'S HOSPITAL,150 HOSPITAL DRIVE,LUVERNE,AL,36049,NOT AVAILABLE,(334) 334-5040,PSYCHIATRIC,OPEN,28,CRENSHAW,01041,USA,31.69458855,-86.26319151,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,https://dph1.adph.state.al.us/facilitiesdirectory/,4/11/2024 12:00:00 AM,IMAGERY/OTHER,2/10/2014 12:00:00 AM,NOT AVAILABLE,H2102,NOT AVAILABLE,01,PROPRIETARY,-999,28,NOT AVAILABLE,Y,-9602774.55309583,3723287.05786297
8244,0002035042,BIBB MEDICAL CENTER,208 PIERSON AVENUE,CENTREVILLE,AL,35042,NOT AVAILABLE,(205) 926-4881,GENERAL ACUTE CARE,OPEN,35,BIBB,01007,USA,32.95135837,-87.14831123,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/facilitiesdirectory/,4/11/2024 12:00:00 AM,IMAGERY,2/10/2014 12:00:00 AM,http://www.bibbmedicalcenter.com,H0401,NOT AVAILABLE,01,GOVERNMENT - DISTRICT/AUTHORITY,-999,35,NOT AVAILABLE,Y,-9701305.62961732,3888849.37889058
8245,0196784204,BROOKWOOD BAPTIST MEDICAL CENTER,2010 BROOKWOOD MEDICAL CENTER DRIVE,HOMEWOOD,AL,35209,NOT AVAILABLE,(205) 877-1000,GENERAL ACUTE CARE,OPEN,595,JEFFERSON,01073,USA,33.46425993,-86.7766650999999,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/facilitiesdirectory/,4/11/2024 12:00:00 AM,IMAGERY/OTHER,4/1/2022 12:00:00 AM,NOT AVAILABLE,H3721,NOT AVAILABLE,01,PROPRIETARY,-999,595,LEVEL III,Y,-9659934.17167043,3957090.08530998
8246,0002135401,BRYCE HOSPITAL,200 UNIVERSITY BOULEVARD,TUSCALOOSA,AL,35401,NOT AVAILABLE,(205) 759-0750,PSYCHIATRIC,OPEN,-999,TUSCALOOSA,01125,USA,33.2163030900001,-87.53815802,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,https://dph1.adph.state.al.us/facilitiesdirectory/,4/11/2024 12:00:00 AM,IMAGERY,2/10/2014 12:00:00 AM,NOT AVAILABLE,H6304,NOT AVAILABLE,01,GOVERNMENT - STATE,-999,-999,NOT AVAILABLE,N,-9744703.17576751,3924049.90098181
