date,county,state,COUNTYFIPS,total_cases,deaths
2020-12-05,Los Angeles,California,6037.0,439538,7886.0
2020-12-05,Cook,Illinois,17031.0,325813,6922.0
2020-12-05,Miami-Dade,Florida,12086.0,241050,3896.0
2020-12-05,Maricopa,Arizona,4013.0,228051,4146.0
2020-12-05,Harris,Texas,48201.0,196658,3060.0
2020-12-05,Dallas,Texas,48113.0,146320,1620.0
2020-12-05,Clark,Nevada,32003.0,126066,1850.0
2020-12-05,Broward,Florida,12011.0,112729,1694.0
2020-12-05,Tarrant,Texas,48439.0,108480,1094.0
2020-12-05,San Bernardino,California,6071.0,103911,1175.0
2020-12-05,Riverside,California,6065.0,95255,1472.0
2020-12-05,San Diego,California,6073.0,90531,1055.0
2020-12-05,El Paso,Texas,48141.0,89540,1220.0
2020-12-05,Orange,California,6059.0,87150,1618.0
2020-12-05,Salt Lake,Utah,49035.0,86339,428.0
2020-12-05,Bexar,Texas,48029.0,85907,1536.0
2020-12-05,Milwaukee,Wisconsin,55079.0,77390,788.0
2020-12-05,Hennepin,Minnesota,27053.0,72366,1161.0
2020-12-05,Philadelphia,Pennsylvania,42101.0,72314,2106.0
2020-12-05,Wayne,Michigan,26163.0,70257,3313.0
2020-12-05,Palm Beach,Florida,12099.0,68379,1724.0
2020-12-05,Suffolk,New York,36103.0,65993,2072.0
2020-12-05,Nassau,New York,36059.0,64359,2269.0
2020-12-05,Orange,Florida,12095.0,61029,655.0
2020-12-05,Hillsborough,Florida,12057.0,60761,959.0
2020-12-05,Franklin,Ohio,39049.0,59137,680.0
2020-12-05,St. Louis,Missouri,29189.0,55278,1098.0
2020-12-05,Westchester,New York,36119.0,53943,1527.0
2020-12-05,Utah,Utah,49049.0,52848,154.0
2020-12-05,Middlesex,Massachusetts,25017.0,51310,2455.0
2020-12-05,Marion,Indiana,18097.0,51069,967.0
2020-12-05,Shelby,Tennessee,47157.0,50923,702.0
2020-12-05,Oakland,Michigan,26125.0,50593,1414.0
2020-12-05,DuPage,Illinois,17043.0,49976,844.0
2020-12-05,Davidson,Tennessee,47037.0,49622,435.0
2020-12-05,King,Washington,53033.0,47274,933.0
2020-12-05,Duval,Florida,12031.0,46606,637.0
2020-12-05,Mecklenburg,North Carolina,37119.0,46199,469.0
2020-12-05,Cuyahoga,Ohio,39035.0,45412,783.0
2020-12-05,Hidalgo,Texas,48215.0,45387,2090.0
2020-12-05,Kern,California,6029.0,44327,456.0
2020-12-05,Pima,Arizona,4019.0,43930,730.0
2020-12-05,Oklahoma,Oklahoma,40109.0,43884,321.0
2020-12-05,Douglas,Nebraska,31055.0,43793,384.0
2020-12-05,Prince George's,Maryland,24033.0,43660,949.0
2020-12-05,Fulton,Georgia,13121.0,43275,723.0
2020-12-05,Gwinnett,Georgia,13135.0,42459,550.0
2020-12-05,Will,Illinois,17197.0,42380,614.0
2020-12-05,Macomb,Michigan,26099.0,41547,1341.0
2020-12-05,Fairfield,Connecticut,9001.0,41535,1545.0
2020-12-05,Jefferson,Kentucky,21111.0,41452,529.0
2020-12-05,Sacramento,California,6067.0,41095,614.0
2020-12-05,Providence,Rhode Island,44007.0,40206,1059.0
2020-12-05,Fresno,California,6019.0,40108,506.0
2020-12-05,Suffolk,Massachusetts,25025.0,40045,1273.0
2020-12-05,Lake,Illinois,17097.0,39927,675.0
2020-12-05,Travis,Texas,48453.0,39925,494.0
2020-12-05,Denver,Colorado,8031.0,39582,566.0
2020-12-05,Essex,Massachusetts,25009.0,39369,1485.0
2020-12-05,Santa Clara,California,6085.0,38388,504.0
2020-12-05,Essex,New Jersey,34013.0,37969,2259.0
